Ty Dolla $ign	Entergalactic
Amy Adams	Her
Amy Adams	Hillbilly Elegy
Amy Adams	Julie & Julia
Amy Adams	Leap Year
Amy Adams	Man of Steel
Amy Adams	Miss Pettigrew Lives for a Day
Amy Adams	Night at the Museum: Battle of the Smithsonian
Amy Adams	Nocturnal Animals
Amy Adams	On the Road
Amy Adams	Sunshine Cleaning
Amy Adams	The Fighter
Amy Adams	The Master
Amy Adams	The Muppets
Amy Adams	The Wedding Date
Amy Adams	The Woman in the Window
Amy Adams	Trouble with the Curve
Amy Adams	Underdog
Amy Adams	Vice
Amy Adams	Zack Snyder's Justice League
Brandon Quintin Adams	The People Under the Stairs
Brooke Adams	Days of Heaven
Brooke Adams	Invasion of the Body Snatchers
Brooke Adams	Sometimes They Come Back
Brooke Adams	The Dead Zone
CJ Adams	The Odd Life of Timothy Green
Carly Adams	Emelie
Catlin Adams	The Jerk
Chanté Adams	A League of Their Own
Charles Adams	Waiting for 'Superman'
Christine Adams	Black Lightning
Christine Adams	Terra Nova
Dominic Adams	Six
Don Adams	Get Smart
Don Adams	Inspector Gadget
Edie Adams	Up in Smoke
Ernest Adams	Baskets
Evan Adams	Smoke Signals
Frankie Adams	The Expanse
Imran Adams	Jeepers Creepers: Reborn
Jack Adams	The Gold Rush
Jane Adams	Easy
Jane Adams	Happiness
Jane Adams	Hung
Jane Adams	Messiah
Jane Adams	The Idol
Jay Adams	Dogtown and Z-Boys
Jeb Stuart Adams	Flowers in the Attic
Jenna Lyng Adams	The Kominsky Method
Joey Lauren Adams	Big Daddy
Joey Lauren Adams	Chasing Amy
Joey Lauren Adams	Jay and Silent Bob Reboot
Joey Lauren Adams	The Break-Up
Jonathan Adams	Last Man Standing
Julian Adams	Phantom
Julie Adams	Creature from the Black Lagoon
Kelly Adams	Bronson
Kelly Adams	Hustle
Kimberly Deauna Adams	Bulworth
Lauren Adams	Unbreakable Kimmy Schmidt
Lillian Adams	The Sweetest Thing
Maud Adams	Octopussy
Maud Adams	Rollerball
Maud Adams	The Man with the Golden Gun
Patrick J. Adams	Extreme Movie
Patrick J. Adams	Suits
Randall Adams	The Thin Blue Line
Ruth Adams	Cunk on Earth
Sam Adams	Portlandia
Shea Adams	Australia
Lovell Adams-Gray	Power Book II: Ghost
Will Adamsdale	Four Lions
Christopher Adamson	Les Misérables
Christopher Adamson	The Count of Monte Cristo
Danny Adcock	The Tourist
Thom Adcox-Hernandez	Gargoyles
Cynthia Addai-Robinson	Shooter
Cynthia Addai-Robinson	The People We Hate at the Wedding
Chris Addison	The Thick of It
Mark Addy	A Knight's Tale
Mark Addy	Atlantis
Mark Addy	Jack Frost
Mark Addy	The Flintstones in Viva Rock Vegas
Mark Addy	The Full Monty
Mark Addy	The Order
Mark Addy	The Time Machine
Wesley Addy	What Ever Happened to Baby Jane?
Adelayo Adedayo	The Responder
Lolly Adefope	Ghosts
Lolly Adefope	Miracle Workers
Sam Adegoke	Dynasty
Ronke Adekoluejo	Alex Rider
Ricky Adelayitor	Beasts of No Nation
Ken Adelman	Why We Fight
Diane Adelson	Manos: The Hands of Fate
Paul Adelstein	Prison Break
Paul Adelstein	Private Practice
Suzanne Adent	Easy
Alexa Adeosun	The Princess Switch
Jovan Adepo	Fences
Jovan Adepo	Misanthrope
Jovan Adepo	Overlord
Frank Aderias	The Gold Rush
Daniel Ades	Real Genius
Georges Adet	Love and Death
Shola Adewusi	Chewing Gum
Kamala Adhikari	Aparajito
Alexandra Adi	Jawbreaker
Adia	The Midnight Club
Dimas Aditya	Pengabdi Setan
Lal Aditya	Paurashpur
Isabelle Adjani	Diabolique
Isabelle Adjani	Ishtar
Isabelle Adjani	La reine Margot
Isabelle Adjani	Le locataire
Isabelle Adjani	Nosferatu - Phantom der Nacht
Isabelle Adjani	Possession
Isabelle Adjani	Subway
Isabelle Adjani	The Driver
Laura Adkin	It's a Disaster
Scott Adkins	Accident Man
Scott Adkins	Assassination Games
Scott Adkins	Avengement
Scott Adkins	Ninja
Scott Adkins	Ninja: Shadow of a Tear
Scott Adkins	The Legend of Hercules
Scott Adkins	Triple Threat
Scott Adkins	Universal Soldier: Day of Reckoning
Scott Adkins	Yip Man 4
Trace Adkins	An American Carol
Trace Adkins	I Can Only Imagine
Trace Adkins	Moms' Night Out
Trace Adkins	Old Henry
Thomas Adlam	They Shall Not Grow Old
Charlie Adler	Aaahh!!! Real Monsters
Charlie Adler	Cow and Chicken
Charlie Adler	Rocko's Modern Life
Charlie Adler	TaleSpin
Charlie Adler	The Real Ghost Busters
Charlie Adler	Tiny Toon Adventures
Jerry Adler	Manhattan Murder Mystery
Joe Adler	The Mentalist
Luther Adler	D.O.A.
Gideon Adlon	Sick
Gideon Adlon	The Craft: Legacy
Gideon Adlon	The Mustang
Gideon Adlon	The Society
Pamela Adlon	Better Things
Pamela Adlon	Californication
Pamela Adlon	Dexter's Laboratory
Pamela Adlon	King of the Hill
Pamela Adlon	Louie
Pamela Adlon	Lucky Louie
Pamela Adlon	Recess
Pamela Adlon	Vampire Hunter D: Bloodlust
Kristina Adolphson	Fanny och Alexander
Gediminas Adomaitis	Man vs. Bee
James Adomian	Harley Quinn
Mario Adorf	Die Blechtrommel
Guido Adorni	Berberian Sound Studio
Andrew Adote	Beasts of No Nation
Bob Adriaens	Snowtown
Max Adrian	The Devils
Scott Adsit	30 Rock
Scott Adsit	Big Hero 6
Frank Adu	Love and Death
Uzo Aduba	In Treatment
Uzo Aduba	Orange Is the New Black
Juan Carlos Aduviri	También la lluvia
Kiara Advani	Bharat Ane Nenu
Kiara Advani	Bhool Bhulaiyaa 2
Kiara Advani	Good Newwz
Kiara Advani	Govinda Naam Mera
Kiara Advani	Jug Jugg Jeeyo
Kiara Advani	Kabir Singh
Kiara Advani	Kalank
Kiara Advani	Laxmii
Kiara Advani	Lust Stories
Kiara Advani	M.S. Dhoni: The Untold Story
Kiara Advani	Satyaprem Ki Katha
Kiara Advani	Shershaah
Regina Advento	Pina
Dwayne Adway	Soul Plane
Ljubica Adzovic	Dom za vesanje
Soo Ae	Gamgi
Elcin Afacan	Sen Çal Kapimi
Emmanuel Affadzi	Beasts of No Nation
Ben Affleck	200 Cigarettes
Ben Affleck	Air
Ben Affleck	Argo
Ben Affleck	Armageddon
Ben Affleck	Batman v Superman: Dawn of Justice
Ben Affleck	Bounce
Ben Affleck	Changing Lanes
Ben Affleck	Chasing Amy
Ben Affleck	Daredevil
Ben Affleck	Deep Water
Ben Affleck	Dogma
Ben Affleck	Extract
Ben Affleck	Forces of Nature
Ben Affleck	Gigli
Ben Affleck	Gone Girl
Ben Affleck	Good Will Hunting
Ben Affleck	Hollywoodland
Ben Affleck	Hypnotic
Ben Affleck	Jay and Silent Bob Reboot
Ben Affleck	Jersey Girl
Ben Affleck	Justice League
Ben Affleck	Live by Night
Ben Affleck	Paycheck
Ben Affleck	Pearl Harbor
Ben Affleck	Reindeer Games
Ben Affleck	Runner Runner
Ben Affleck	State of Play
Ben Affleck	Surviving Christmas
Ben Affleck	The Accountant
Ben Affleck	The Company Men
Ben Affleck	The Last Thing He Wanted
Ben Affleck	The Sum of All Fears
Ben Affleck	The Tender Bar
Ben Affleck	The Town
Ben Affleck	The Way Back
Ben Affleck	To the Wonder
Ben Affleck	Triple Frontier
Ben Affleck	Zack Snyder's Justice League
Casey Affleck	200 Cigarettes
Casey Affleck	A Ghost Story
Casey Affleck	Ain't Them Bodies Saints
Casey Affleck	Gerry
Casey Affleck	Gone Baby Gone
Casey Affleck	Light of My Life
Casey Affleck	Manchester by the Sea
Casey Affleck	Our Friend
Casey Affleck	Out of the Furnace
Casey Affleck	The Assassination of Jesse James by the Coward Robert Ford
Casey Affleck	The Finest Hours
Casey Affleck	The Killer Inside Me
Casey Affleck	The Last Kiss
Casey Affleck	The Old Man & the Gun
Casey Affleck	The World to Come
Casey Affleck	To Die For
Casey Affleck	Tower Heist
Casey Affleck	Triple 9
Neil Affleck	My Bloody Valentine
Rab Affleck	Joan of Arc
Yves Afonso	Week End
Afra	For Sama
Arianna Afsar	Wedding Season
Ali Afshar	A California Christmas
Viktoriya Agalakova	Epidemiya
Bishop Agapit	Winter on Fire: Ukraine's Fight for Freedom
Lyubov Agapova	Lilja 4-ever
John Agar	Miracle Mile
John Agar	Sands of Iwo Jima
John Agar	She Wore a Yellow Ribbon
John Agar	Tarantula
Sonia Agarwal	Queen
Mohan Agashe	Toofaan
Rashmi Agdekar	Rasbhari
Arthur Agee	Hoop Dreams
Steve Agee	Peacemaker
Keiko Agena	Gilmore Girls
Keiko Agena	Prodigal Son
Robert Agengo	The Boy Who Harnessed the Wind
Kajal Aggarwal	Business Man
Kajal Aggarwal	Jilla
Kajal Aggarwal	Magadheera
Kajal Aggarwal	Singham
Kajal Aggarwal	Thuppakki
Kajal Aggarwal	Vivegam
Hamid Aghazi	Avaze gonjeshk-ha
Shohreh Aghdashloo	The Exorcism of Emily Rose
Shohreh Aghdashloo	The Expanse
Shohreh Aghdashloo	The Nativity Story
Shohreh Aghdashloo	The Stoning of Soraya M.
Ramón Agirre	Errementari
Keith Agius	Wyrmwood
Alicia Agneson	The Courier
Apurva Agnihotri	Pardes
Rati Agnihotri	Hum Tum
Raphaëlle Agogué	Comme un chef
Alfonso Agra	El desorden que dejas
Mukesh Agrohari	72 Hoorain
Mukesh Agrohari	Aamir
Dianna Agron	I Am Number Four
Dianna Agron	The Family
Joyce Agu	The Amazing Race
Uchenna Agu	The Amazing Race
Siena Agudong	Resident Evil
Alejandro Aguilar	El Chapo
Camille Aguilar	Zone Blanche
Zach Aguilar	Kimetsu no Yaiba
Zach Aguilar	One Punch Man: Wanpanman
Augusto Aguilera	The Last Thing He Told Me
Christina Aguilera	Burlesque
Christina Aguilera	The Voice
Marco Antonio Aguirre	Sin nombre
Rubén Aguirre	El Chavo del Ocho
Gui Agustini	The Time Traveler's Wife
Jenny Agutter	An American Werewolf in London
Jenny Agutter	Call the Midwife
Jenny Agutter	Child's Play 2
Jenny Agutter	Logan's Run
Jenny Agutter	The Eagle Has Landed
Jenny Agutter	Walkabout
Freema Agyeman	New Amsterdam
Freema Agyeman	The Carrie Diaries
Yoo Ah-in	#Saraitda
Yoo Ah-in	Beoning
Yoo Ah-in	Jiok
Abolfazl Ahankhah	Nema-ye Nazdik
Mehrdad Ahankhah	Nema-ye Nazdik
Ahd	Wadjda
Brian Aherne	I Confess
Michael Aherne	The Commitments
Jaideep Ahlawat	An Action Hero
Jaideep Ahlawat	Bard of Blood
Jaideep Ahlawat	Jaane Jaan
Jaideep Ahlawat	Paatal Lok
Jaideep Ahlawat	Raees
Ben Ahlers	The Gilded Age
Börje Ahlstedt	Fanny och Alexander
Börje Ahlstedt	Ronja Rövardotter
Alex Ahlstrom	Jing wu feng yun: Chen Zhen
Dolly Ahluwalia	Chhatriwali
Dolly Ahluwalia	Vicky Donor
Jassa Ahluwalia	Slaughterhouse Rulez
Jassa Ahluwalia	Unforgotten
Jeeveshu Ahluwalia	Dhindora
Evin Ahmad	Snabba cash
Mona Ahmadi	Shahrzad
Ayan Ahmed	Snabba cash
Ibrahim Ahmed	Timbuktu
Riz Ahmed	Encounter
Riz Ahmed	Four Lions
Riz Ahmed	Ill Manors
Riz Ahmed	Les frères Sisters
Riz Ahmed	Nightcrawler
Riz Ahmed	Nimona
Riz Ahmed	Sound of Metal
Riz Ahmed	The Reluctant Fundamentalist
Riz Ahmed	The Road to Guantanamo
Riz Ahmed	Una
Riz Ahmed	Venom
Shahzad Ahmed	Manjhi: The Mountain Man
Filiz Ahmet	Muhtesem Yüzyil
Luran Ahmeti	Limonata
Ali Ahn	Raising Dion
Ali Ahn	The Diplomat
Seo-hyun Ahn	Okja
Eero Aho	Tuntematon sotilas
Gautam Ahuja	Aadha Ishq
Mihir Ahuja	Candy
Mihir Ahuja	Feels Like Home
Shiney Ahuja	Bhool Bhulaiyaa
Suhaas Ahuja	The Married Woman
Fairouz Ai	Chainsaw Man
Médina El Aidi-Azouni	Mignonnes
Charles Aidman	The Twilight Zone
Danny Aiello	2 Days in the Valley
Danny Aiello	City Hall
Danny Aiello	Do the Right Thing
Danny Aiello	Harlem Nights
Danny Aiello	Hudson Hawk
Danny Aiello	Jacob's Ladder
Danny Aiello	Little Italy
Danny Aiello	Léon
Danny Aiello	Moonstruck
Danny Aiello	The Purple Rose of Cairo
Hiroaki Aikawa	Life in a Day
Natsuki Aikawa	Shingeki no Kyojin: Chronicle
Liam Aiken	A Series of Unfortunate Events
Liam Aiken	Road to Perdition
Mark Aiken	Black Books
Luke Aikman	Fever Pitch
Anouk Aimée	8½
Anouk Aimée	La dolce vita
Anouk Aimée	Un homme et une femme
Olivia Ainali	Sorjonen
Tom Ainsley	How I Met Your Father
Benjamin Evan Ainsworth	Pinocchio
Kacey Ainsworth	Grantchester
Lexi Ainsworth	Wild Child
Alex Aiono	Finding 'Ohana
Malou Airaudo	Pina
Andrew Airlie	Defying Gravity
Andrew Airlie	Reaper
Charles Aitken	Happy Death Day
Tony Aitken	Blackadder II
David Ajala	Kill Command
David Ajala	Nightflyers
Florijan Ajdini	Crna macka, beli macor
Kubilay Aka	Ask 101
Birce Akalay	Nefes: Vatan Sagolsun
Tarik Akan	Canim Kardesim
Tarik Akan	Hababam Sinifi
Tarik Akan	Vizontele Tuuba
Tarik Akan	Yol
Himika Akaneya	Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai
Chinatsu Akasaki	Gekijouban Jujutsu Kaisen 0
Miyoko Akaza	Shurayukihime
Demet Akbag	Eyyvah Eyvah
Demet Akbag	Eyyvah Eyvah 2
Demet Akbag	Kis Uykusu
Demet Akbag	Neredesin Firuze
Demet Akbag	Organize Isler
Demet Akbag	Vizontele
Demet Akbag	Vizontele Tuuba
Maryam Akbari	Avaze gonjeshk-ha
Aydemir Akbas	Kolpaçino
Deniz Akdeniz	Sightless
Deniz Akdeniz	The Flight Attendant
Deniz Akdeniz	Tomorrow, When the War Began
Tolga Akdogan	Dag
Metin Akdülger	Atiye
Metin Akdülger	Sahsiyet
Neslihan Aker	Leyla ile Mecnun
Parthaa Akerkar	Heropanti
Iben Akerlie	Torden
Malin Akerman	27 Dresses
Malin Akerman	CBGB
Malin Akerman	Catch .44
Malin Akerman	Couples Retreat
Malin Akerman	Dollface
Malin Akerman	Happythankyoumoreplease
Malin Akerman	Rampage
Malin Akerman	Stolen
Malin Akerman	The Bang Bang Club
Malin Akerman	The Final Girls
Malin Akerman	The Giant Mechanical Man
Malin Akerman	The Heartbreak Kid
Malin Akerman	The Numbers Station
Malin Akerman	The Romantics
Malin Akerman	Wanderlust
Malin Akerman	Watchmen
Donna Akersten	Meet the Feebles
Satomi Akesaka	Akame ga Kill!
Desiree Akhavan	Creep 2
Adeel Akhtar	Four Lions
Adeel Akhtar	Sweet Tooth
Adeel Akhtar	The Night Manager
Adeel Akhtar	Utopia
Farhan Akhtar	Bhaag Milkha Bhaag
Farhan Akhtar	Karthik Calling Karthik
Farhan Akhtar	Luck by Chance
Farhan Akhtar	Rock On!!
Farhan Akhtar	Toofaan
Farhan Akhtar	Wazir
Farhan Akhtar	Zindagi Na Milegi Dobara
Qasim Akhtar	Shameless
Lucy Akhurst	Spaced
Mohamed Akhzam	Babel
Praneet Akilla	October Faction
Philip Akin	Highlander
Philip Akin	P2
Fisayo Akinade	The Girl with All the Gifts
Fisayo Akinade	The Isle
Seçil Buket Akinci	Kardes Payi
Jimmy Akingbola	Bel-Air
Gbenga Akinnagbe	The Old Man
Adewale Akinnuoye-Agbaje	Bilal: A New Breed of Hero
Adewale Akinnuoye-Agbaje	G.I. Joe: The Rise of Cobra
Adewale Akinnuoye-Agbaje	Get Rich or Die Tryin'
Adewale Akinnuoye-Agbaje	Legionnaire
Adewale Akinnuoye-Agbaje	Pompeii
Claude Akins	Battle for the Planet of the Apes
Oksana Akinshina	Chernobyl
Oksana Akinshina	Lilja 4-ever
Oksana Akinshina	Sputnik
Kayode Akinyemi	Vikings: Valhalla
Yuzuki Akiyama	Kamera o tomeru na!
Sarp Akkaya	Ezel
Amala Akkineni	Karwaan
Naga Chaitanya Akkineni	Manam
Nagarjuna Akkineni	Brahmastra Part One: Shiva
Nagarjuna Akkineni	Manam
Alican Akman	Sen Aydinlatirsin Geceyi
Ibrahim Akoz	Nefes: Vatan Sagolsun
Metin Akpinar	Canim Kardesim
Metin Akpinar	Köyden Indim Sehire
Alex Alomar Akpobome	Based on a True Story
Yasmine Akram	Lovesick
Ayda Aksel	Ask Tesadüfleri Sever
Nisa Sofiya Aksongur	Yedinci Kogustaki Mucize
Saadet Aksoy	Venuto al mondo
Firuze Gamze Aksu	Recep Ivedik 4
Gamze Aksu	Recep Ivedik 4
Ilker Aksum	Vavien
Lyubov Aksyonova	Koma
Lyubov Aksyonova	Mayor Grom: Chumnoy Doktor
Mesut Akusta	Dag
Jude Akuwudike	Manhunt
Engin Akyürek	Bi Küçük Eylül Meselesi
Engin Akyürek	Kader
Halit Akçatepe	Canim Kardesim
Halit Akçatepe	Hababam Sinifi
Halit Akçatepe	Hababam Sinifi Uyaniyor
Halit Akçatepe	Saban Oglu Saban
Halit Akçatepe	Süt Kardesler
Alex Al	This Is It
Celal Al	Dirilis: Ertugrul
Hudhail Al-Amir	Boyz n the Hood
Jacir Eid Al-Hwietat	Theeb
Waad Al-Kateab	For Sama
Jim Al-Khalili	Cunk on Earth
Hamza Al-Khateab	For Sama
Sama Al-Khateab	For Sama
Hassan Mutlag Al-Maraiyeh	Theeb
Hussein Salameh Al-Sweilhiyeen	Theeb
Derya Alabora	Masumiyet
Nick Alachiotis	Erased
Marc Alaimo	The Incredible Hulk
Sayyid El Alami	Messiah
Donny Alamsyah	Serbuan maut
Lissi Alandh	Tystnaden
Mazhar Alanson	Her Sey Çok Güzel Olacak
Mazhar Alanson	Hokkabaz
Morjana Alaoui	Martyrs
Ali Alarik	Snabba cash
Joe Alaskey	Tiny Toon Adventures
Zeki Alasya	Köyden Indim Sehire
Zeki Alasya	Pardon
Carlos Alazraqui	Camp Lazlo!
Carlos Alazraqui	CatDog
Carlos Alazraqui	Cow and Chicken
Carlos Alazraqui	Happy Feet Two
Carlos Alazraqui	Planes
Carlos Alazraqui	Reno 911!
Carlos Alazraqui	Rocko's Modern Life
Carlos Alazraqui	The Fairly OddParents
Jessica Alba	4: Rise of the Silver Surfer
Jessica Alba	Awake
Jessica Alba	Bill
Jessica Alba	Dark Angel
Jessica Alba	Escape from Planet Earth
Jessica Alba	Fantastic Four
Jessica Alba	Good Luck Chuck
Jessica Alba	Honey
Jessica Alba	Idle Hands
Jessica Alba	Into the Blue
Jessica Alba	Machete
Jessica Alba	Machete Kills
Jessica Alba	Mechanic: Resurrection
Jessica Alba	Sin City
Jessica Alba	Sin City: A Dame to Kill For
Jessica Alba	Some Kind of Beautiful
Jessica Alba	Spy Kids 4: All the Time in the World
Jessica Alba	The Eye
Jessica Alba	The Killer Inside Me
Jessica Alba	The Love Guru
Jessica Alba	The Ten
Jessica Alba	Valentine's Day
Mike Albanese	O.J.: Made in America
Josh Albee	Jeremiah Johnson
Sergio Albelli	La pazza gioia
Helena Albergaria	Que Horas Ela Volta?
Ashley Paige Albert	Daria
Eddie Albert	Dreamscape
Eddie Albert	Escape to Witch Mountain
Eddie Albert	Roman Holiday
Eddie Albert	The Longest Yard
Edward Albert	Guarding Tess
Éva Almássy Albert	Sátántangó
Giorgio Albertazzi	L'année dernière à Marienbad
Jada Alberts	The Stranger
Jack Albertson	Dead & Buried
Jack Albertson	The Fox and the Hound
